Station Name: Oak_Park
Station Height: 62 M 
Latitude:52.857  ,Longitude: -6.909
 10 cm Soil Temperatures in deg C
 Potential Evapotranspiration, Evaporation, Well/Moderately/Poorly Drained Soil Moisture Deficits in mm 
 Global Radiation in Joules/cm sq.

,date,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad,
,01-jan-2008,8.7,0.546,0.662,0.000,-0.154,-0.154,132,
,02-jan-2008,6.1,0.825,1.047,0.725,0.725,0.578,91,
,03-jan-2008,3.0,0.416,0.498,1.139,1.139,0.995,270,
,04-jan-2008,2.4,0.390,0.530,0.000,-3.875,-4.015,74,
,05-jan-2008,3.2,0.253,0.286,0.000,-2.647,-6.462,332,
,06-jan-2008,2.3,0.178,0.262,0.000,-4.822,-10.000,178,
,07-jan-2008,3.5,0.566,0.669,0.000,-2.634,-10.000,318,
,08-jan-2008,4.3,0.486,0.658,0.000,-10.000,-10.000,130,
,09-jan-2008,2.8,0.298,0.380,0.000,-10.000,-10.000,252,
,10-jan-2008,5.4,0.003,0.040,0.000,-10.000,-10.000,320,
,11-jan-2008,1.8,0.111,0.182,0.111,0.111,-9.389,242,
,12-jan-2008,2.2,0.206,0.305,0.000,-5.684,-10.000,173,
,13-jan-2008,6.8,0.312,0.446,0.000,-9.088,-10.000,141,
,14-jan-2008,5.7,0.423,0.550,0.000,-2.377,-10.000,190,
,15-jan-2008,5.6,0.297,0.408,0.000,-0.203,-9.703,152,
,16-jan-2008,3.6,0.256,0.353,0.256,0.256,-8.962,139,
,17-jan-2008,5.3,0.304,0.440,0.000,-6.041,-10.000,231,
,18-jan-2008,7.5,0.538,0.718,0.000,-8.162,-10.000,206,
,19-jan-2008,8.5,0.375,0.506,0.000,-8.325,-10.000,100,
,20-jan-2008,9.8,0.342,0.472,0.000,-1.658,-10.000,146,
,21-jan-2008,8.8,0.297,0.432,0.000,-3.703,-10.000,266,
,22-jan-2008,6.4,0.273,0.405,0.273,0.273,-9.227,69,
,23-jan-2008,9.5,0.776,0.943,0.000,-1.353,-10.000,173,
,24-jan-2008,5.5,0.597,0.726,0.097,0.097,-9.403,487,
,25-jan-2008,6.7,1.035,1.201,1.132,1.132,-7.897,327,
,26-jan-2008,6.8,0.637,0.782,1.763,1.763,-6.865,342,
,27-jan-2008,6.1,0.427,0.562,2.183,2.183,-6.095,530,
,28-jan-2008,5.8,0.192,0.319,2.171,2.171,-5.798,277,
,29-jan-2008,7.5,0.372,0.526,0.000,-2.864,-10.000,142,
,30-jan-2008,3.7,0.469,0.635,0.469,0.469,-9.031,396,
,31-jan-2008,4.4,0.654,0.977,0.000,-5.079,-10.000,409,
